datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,source_file
2026-05-20 17:31:29.060,1181828516.0,334060.0,2.0,0.99048,-0.26611,-0.23511,0.557,0.427,-1.427,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:29.260,1181828716.0,334260.0,1.0,1.00098,-0.06641,0.37451,2.679,-1.87,-1.985,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:29.260,1181828716.0,334260.0,2.0,0.99121,-0.26392,-0.24878,0.061,-2.084,-3.115,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:30.460,1181829916.0,334460.0,1.0,1.03491,-0.03564,0.34229,-4.42,-5.397,1.115,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:30.460,1181829916.0,334460.0,2.0,0.98047,-0.22412,-0.25708,2.237,-1.695,-1.015,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:30.660,1181830116.0,334660.0,1.0,1.01489,-0.04834,0.32544,0.305,-1.366,-0.336,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:30.660,1181830116.0,334660.0,2.0,0.97046,-0.23828,-0.22632,1.863,-0.229,0.374,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:30.860,1181830316.0,334860.0,1.0,1.0481,-0.04297,0.30786,17.099,-0.008,4.511,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:30.860,1181830316.0,334860.0,2.0,1.04541,-0.21924,-0.26392,5.008,0.954,-0.107,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:30.060,1181829516.0,335060.0,1.0,1.02124,-0.03516,0.35083,-3.58,-3.588,0.053,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:30.060,1181829516.0,335060.0,2.0,1.00122,-0.24023,-0.24048,-4.542,0.618,1.29,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:31.451,1181830907.0,335450.0,1.0,1.01611,-0.05737,0.33057,-2.13,3.168,0.786,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:31.451,1181830907.0,335450.0,2.0,0.98486,-0.25708,-0.24341,-1.237,-2.992,1.305,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:31.798,1181831254.0,335798.0,1.0,1.03003,-0.06006,0.31665,-3.832,1.038,-1.359,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:31.798,1181831254.0,335798.0,2.0,0.97607,-0.25586,-0.24902,-3.023,0.183,1.015,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:31.094,1181830550.0,336094.0,1.0,1.02344,-0.06421,0.32544,-1.191,1.221,-0.504,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:31.094,1181830550.0,336094.0,2.0,0.9873,-0.24561,-0.24756,-1.779,0.786,0.214,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:31.294,1181830750.0,336294.0,1.0,1.03394,-0.05566,0.33472,0.099,1.061,-0.824,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:31.294,1181830750.0,336294.0,2.0,0.98755,-0.24194,-0.22607,-1.656,1.794,0.313,imu_2026-05-20(Alifi).csv
