date,time,prediction,confidence,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,pressure_hpa,altitude_m,acc_mag1,acc_mag2,gyro_mag1,gyro_mag2,diff_ax,diff_gx,diff_ay,diff_gy,diff_az,diff_gz,roll1,pitch1,roll2,pitch2,diff_roll,diff_pitch,acc_mag1_rm3,acc_mag1_rs3,acc_mag2_rm3,acc_mag2_rs3,gyro_mag1_rm3,gyro_mag1_rs3,gyro_mag2_rm3,gyro_mag2_rs3,roll1_rm3,roll1_rs3,pitch1_rm3,pitch1_rs3,diff_roll_rm3,diff_roll_rs3,diff_pitch_rm3,diff_pitch_rs3
2026-06-26,15:49:39,tidak pasti,0.6365,0.98755,0.15845,0.34692,-0.412,3.176,-0.481,0.83984,-0.22046,-0.51782,2.099,1.733,-1.55,713.04,2867.328,1.0586382249852875,1.0109754643907043,3.238530685357173,3.1323457663546663,0.14771,-2.511,0.37890999999999997,1.443,0.86474,1.069,0.1502379601835091,-1.2022426096020091,-0.21983297154386694,-0.9804041710364757,0.37007093172737604,-0.22183843856553342,1.06015368837807,0.001348713298325523,1.0040086628971754,0.00623008355797332,4.636232877589703,3.1447426853614675,3.9587099838871205,1.5700241702625628,0.1505686125108481,0.00970676467923025,-1.1849399734976478,0.028598912747710033,0.3659564364904115,0.00680253036904593,-0.17750395994600301,0.058400859027176934
2026-06-26,15:49:39,tidak pasti,0.62,0.98169,0.16675,0.35767,-0.008,2.573,-0.45,0.84375,-0.20605,-0.5061,0.802,1.725,-1.191,713.04,2867.328,1.0580400027881742,1.0052402076120912,2.612066806190071,2.2443952414848862,0.13793999999999995,-0.81,0.3728,0.8479999999999999,0.8637699999999999,0.7410000000000001,0.15826257795933144,-1.1885746104003476,-0.20643906764005512,-0.9960893503249697,0.36470164559938656,-0.19248526007537792,1.0590929712981012,0.0013395411301313832,1.0050626565388994,0.00600355281942456,4.696044510307375,3.0829751759976833,3.7153551927863506,1.8333593993413435,0.15631233893680332,0.005371686792914667,-1.1971549654426006,0.007473474595361074,0.3681554619277729,0.002997030349032053,-0.2045553700881242,0.015355242552120691
2026-06-26,15:49:40,tidak pasti,0.5859,0.98169,0.16675,0.35767,-0.008,2.573,-0.45,0.84375,-0.20605,-0.5061,0.802,1.725,-1.191,713.04,2867.328,1.0580400027881742,1.0052402076120912,2.612066806190071,2.2443952414848862,0.13793999999999995,-0.81,0.3728,0.8479999999999999,0.8637699999999999,0.7410000000000001,0.15826257795933144,-1.1885746104003476,-0.20643906764005512,-0.9960893503249697,0.36470164559938656,-0.19248526007537792,1.058239410187212,0.00034538374653852923,1.007151959871629,0.003311252045003906,2.820888099245772,0.3616890892747035,2.540378749774813,0.5126584745606368,0.15558770536739067,0.004633015233014893,-1.1931306101342347,0.007891223018362958,0.36649140764204974,0.003099958791350854,-0.20226965290542975,0.016947065502862416
2026-06-26,15:49:40,tidak pasti,0.5557,0.98169,0.16675,0.35767,-0.008,2.573,-0.45,0.84375,-0.20605,-0.5061,0.802,1.725,-1.191,713.04,2867.328,1.0580400027881742,1.0052402076120912,2.612066806190071,2.2443952414848862,0.13793999999999995,-0.81,0.3728,0.8479999999999999,0.8637699999999999,0.7410000000000001,0.15826257795933144,-1.1885746104003476,-0.20643906764005512,-0.9960893503249697,0.36470164559938656,-0.19248526007537792,1.0580400027881742,0.0,1.0052402076120912,0.0,2.612066806190071,0.0,2.2443952414848862,0.0,0.15826257795933144,0.0,-1.1885746104003476,0.0,0.36470164559938656,0.0,-0.19248526007537792,0.0
2026-06-26,15:49:41,tidak pasti,0.5557,0.98169,0.16675,0.35767,-0.008,2.573,-0.45,0.84375,-0.20605,-0.5061,0.802,1.725,-1.191,713.04,2867.328,1.0580400027881742,1.0052402076120912,2.612066806190071,2.2443952414848862,0.13793999999999995,-0.81,0.3728,0.8479999999999999,0.8637699999999999,0.7410000000000001,0.15826257795933144,-1.1885746104003476,-0.20643906764005512,-0.9960893503249697,0.36470164559938656,-0.19248526007537792,1.0580400027881742,0.0,1.0052402076120912,0.0,2.612066806190071,0.0,2.2443952414848862,0.0,0.15826257795933144,0.0,-1.1885746104003476,0.0,0.36470164559938656,0.0,-0.19248526007537792,0.0
2026-06-26,15:49:42,tidak pasti,0.5716,0.97852,0.17651,0.34863,2.053,2.916,0.748,0.83545,-0.20483,-0.50757,-0.42,1.443,-0.565,713.04,2867.328,1.0536603093027657,0.9987789226350343,3.643812426566439,1.6055759091366562,0.14306999999999992,2.473,0.38134,1.4729999999999999,0.8562,1.313,0.1683143746296719,-1.1908550083750733,-0.20654587182298131,-0.9908122859898177,0.3748602464526532,-0.20004272238525556,1.0565801049597046,0.002528617212768717,1.0030864459530722,0.0037304246208146492,2.9559820129821937,0.5956786116595135,2.031455464035476,0.36882251349478756,0.1616131768494449,0.00580340751346044,-1.1893347430585894,0.00131658838456738,0.3680878458838088,0.005865070937223458,-0.19500441417867045,0.004363302898998309
2026-06-26,15:49:43,tidak pasti,0.5766,0.97852,0.17651,0.34863,2.053,2.916,0.748,0.83545,-0.20483,-0.50757,-0.42,1.443,-0.565,713.04,2867.328,1.0536603093027657,0.9987789226350343,3.643812426566439,1.6055759091366562,0.14306999999999992,2.473,0.38134,1.4729999999999999,0.8562,1.313,0.1683143746296719,-1.1908550083750733,-0.20654587182298131,-0.9908122859898177,0.3748602464526532,-0.20004272238525556,1.055120207131235,0.0025286172127686047,1.0009326842940534,0.0037304246208146974,3.299897219774316,0.5956786116595134,1.818515686586066,0.3688225134947876,0.16496377573955842,0.005803407513460445,-1.1900948757168315,0.0013165883845672678,0.37147404616823093,0.005865070937223474,-0.19752356828196302,0.004363302898998303
2026-06-26,15:49:43,tidak pasti,0.5991,0.98682,0.16382,0.34424,3.015,3.893,1.908,0.80542,-0.21436,-0.55225,-2.557,0.855,2.092,713.04,2867.328,1.0578997506380272,0.9998158072865222,5.280732714311529,3.4125852370307177,0.1814,5.572,0.37817999999999996,3.038,0.89649,-0.18400000000000016,0.15547966119714793,-1.2021347478144853,-0.21607698226204639,-0.9366341290817779,0.3715566434591943,-0.26550061873270736,1.0550734564145194,0.002447642596126915,0.9991245508521969,0.0005986456326551024,4.189452522481469,0.9450763687715871,2.20791235176801,1.043277321887801,0.16403613681883056,0.007410125255239409,-1.194614921521544,0.006512360601733303,0.37375904545483357,0.001907336077569142,-0.22186202116773948,0.03779213407678793
2026-06-26,15:49:44,tidak pasti,0.6385,0.9707,0.14746,0.39429,4.206,14.588,8.725,0.83984,-0.2312,-0.49609,14.74,10.16,-6.878,713.04,2867.328,1.0580489335092211,1.002441995179771,17.510733993753657,19.178114714434265,0.13085999999999998,-10.533999999999999,0.37866,4.427999999999999,0.89038,15.603,0.1398249097712057,-1.1616063113470727,-0.23273206148818337,-0.9932304170044793,0.3725569712593891,-0.16837589434259337,1.0565363311500047,0.0024918246590825348,1.0003455750337757,0.0018881248678314637,8.811759711543875,7.57786197941202,8.065425286867212,9.666189549814572,0.15453964853267518,0.01426797532369158,-1.1848653558455438,0.020917588142318148,0.37299128705707885,0.0016940840722023834,-0.21130641182018542,0.049532373723947594
2026-06-26,15:49:45,tidak pasti,0.5405,0.82935,0.05347,0.66089,-2.847,24.977,14.244,0.94873,-0.2334,-0.29346,77.191,40.168,-11.282,713.04,2867.328,1.0618173362212542,1.0201386888555888,28.893727243123205,87.74509803402125,-0.11937999999999993,-80.038,0.28687,-15.190999999999999,0.95435,25.526,0.05037836778038189,-0.8963719804996214,-0.23083701854639463,-1.194415562157444,0.2812153863267765,0.2980435816578225,1.0592553401228342,0.002220007182083824,1.007465497107294,0.011053576684921788,17.228397983729465,11.809028870797963,36.77859932849541,44.836658803383145,0.1152276462495785,0.05670396369773074,-1.0867043465537265,0.1660736153530676,0.34177633368178667,0.052449703739193713,-0.04527764380582607,0.30126466920692835
